Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 Canada R64,L vs Edmund,0% (0/10),#DIV/0!,0/2,33% (3/9),33% (1/3),0/0,0/0,1月1日,0/0,0/0
2019 Washington F,W vs Medvedev,7% (1/14),0% (0/1),0/1,13% (2/15),50% (1/2),0/0,0/0,1月1日,0/0,0/0
2019 Washington SF,W vs Tsitsipas,24% (4/17),50% (2/4),0/2,25% (4/16),25% (1/4),2月2日,1月1日,2月3日,0/0,1月1日
2019 Washington QF,W vs Gombos,45% (5/11),60% (3/5),0/0,8% (1/12),0% (0/1),2月2日,1月1日,0/0,1月1日,0/0
2019 Washington R64,W vs Kwiatkowski,36% (4/11),75% (3/4),1月1日,18% (2/11),50% (1/2),3月3日,2月3日,0/0,1月1日,0/0
2019 London R16,L vs Auger Aliassime,0% (0/19),#DIV/0!,0/0,11% (2/19),0% (0/2),0/0,0/0,5月6日,0/0,1月2日
2019 London R32,W vs Carballes Baena,31% (4/13),75% (3/4),0/0,0% (0/10),#DIV/0!,1月1日,0/0,0/0,0/0,0/0
2019 Stuttgart R32,L vs Berrettini,0% (0/10),#DIV/0!,0/2,22% (2/9),0% (0/2),0/0,0/0,1月1日,0/0,0/0
2019 Madrid R64,L vs Struff,9% (1/11),100% (1/1),0/1,27% (3/11),33% (1/3),1月1日,0/0,0/1,0/0,0/1
2019 Miami R16,L vs Coric,21% (3/14),67% (2/3),1月4日,31% (4/13),0% (0/4),2月2日,1月1日,1月1日,0/0,0/0
2019 Miami R32,W vs Lajovic,63% (5/8),100% (5/5),0/1,38% (3/8),67% (2/3),3月4日,1月2日,0/0,0/0,0/0
2019 Miami R64,W vs Bublik,30% (3/10),67% (2/3),0/0,18% (2/11),100% (2/2),1月1日,1月1日,0/0,1月1日,0/0
2019 Indian Wells R64,L vs Kohlschreiber,20% (2/10),0% (0/2),0/2,30% (3/10),33% (1/3),0/0,0/0,2月2日,0/0,1月1日
2019 Acapulco F,W vs Zverev,33% (3/9),100% (3/3),0/1,50% (5/10),80% (4/5),2月3日,2月2日,0/0,1月1日,0/0
2019 Acapulco SF,W vs Isner,6% (1/18),100% (1/1),0/0,17% (3/18),67% (2/3),1月1日,1月1日,4月5日,0/0,2月2日
2019 Acapulco QF,W vs Wawrinka,29% (5/17),60% (3/5),1月1日,6% (1/17),0% (0/1),2月2日,1月1日,0/0,1月1日,0/0
2019 Acapulco R16,W vs Nadal,6% (1/17),0% (0/1),0/1,19% (3/16),67% (2/3),0/0,0/0,3月3日,0/0,2月2日
2019 Acapulco R32,W vs Seppi,36% (4/11),100% (4/4),0/1,20% (2/10),50% (1/2),2月2日,0/0,0/0,0/0,0/0
2019 Delray Beach R16,L vs Albot,15% (2/13),50% (1/2),0/3,31% (4/13),25% (1/4),1月1日,1月1日,2月2日,0/0,1月1日
2019 Delray Beach R32,W vs Millman,6% (1/17),100% (1/1),0/0,6% (1/17),100% (1/1),1月1日,1月1日,2月2日,0/0,0/0
2019 (23 matches),,17.20%,64.20%,11.10%,19.50%,40.70%,92.30%,86.70%,83.30%,100.00%,83.30%
2018 (34 matches),,21.90%,66.10%,10.30%,19.50%,50.00%,93.80%,97.30%,84.10%,93.80%,85.70%
2017 (41 matches),,28.80%,62.20%,16.30%,17.70%,39.30%,94.70%,92.90%,78.40%,94.70%,64.30%
2016 (53 matches),,30.40%,65.00%,18.80%,20.70%,48.20%,87.10%,94.50%,87.50%,93.80%,69.20%
2015 (21 matches),,26.00%,73.60%,11.40%,28.10%,41.00%,82.60%,94.40%,65.60%,100.00%,50.00%
Career (215 matches),,26.60%,65.80%,16.00%,21.00%,43.00%,89.20%,92.20%,81.50%,93.20%,76.60%
