Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,33,24,9,72.70%,56-27,67.50%,473-412,53.40%,10月17日,63.00%,33,90.90%,16.10%,21.40%,3.50%,67.80%,80.40%,50.20%,70.70%,31.40%,51.20%,1.07
Clay,3,1,2,33.30%,3月4日,42.90%,35-37,48.60%,1月1日,50.00%,3,83.30%,13.50%,16.00%,2.70%,67.10%,74.10%,50.00%,66.20%,27.70%,47.20%,0.82
Grass,5,2,3,40.00%,7月9日,43.80%,82-89,48.00%,4月3日,57.10%,5,85.70%,9.50%,16.70%,4.00%,66.10%,75.00%,52.90%,67.50%,29.30%,48.40%,0.9
Grand Slams,9,6,3,66.70%,20-14,58.80%,192-173,52.60%,7月8日,46.70%,9,89.90%,15.70%,21.10%,3.30%,68.80%,78.30%,50.60%,69.60%,31.50%,50.60%,1.04
Masters,10,4,6,40.00%,11月12日,47.80%,114-117,49.40%,2月2日,50.00%,10,84.20%,14.70%,16.60%,3.50%,66.30%,77.10%,47.90%,67.30%,29.30%,49.10%,0.9
Other Tours,20,15,5,75.00%,31-14,68.90%,259-232,52.70%,12月4日,75.00%,20,91.00%,14.10%,20.60%,3.70%,66.60%,79.70%,51.30%,70.20%,30.50%,50.50%,1.03
Best of 5,9,6,3,66.70%,20-14,58.80%,192-173,52.60%,7月8日,46.70%,9,89.90%,15.70%,21.10%,3.30%,68.80%,78.30%,50.60%,69.60%,31.50%,50.60%,1.04
Best of 3,32,21,11,65.60%,46-26,63.90%,398-365,52.20%,6月15日,71.40%,32,89.40%,14.60%,20.00%,3.60%,66.90%,79.70%,50.60%,70.00%,30.50%,50.40%,1.02
Finals,2,2,0,100.00%,4-0,100.00%,26-19,57.80%,2-0,100.00%,2,95.50%,14.30%,21.40%,3.40%,65.50%,81.10%,50.00%,70.30%,27.10%,51.00%,0.91
Semi-finals,3,2,1,66.70%,4月4日,50.00%,40-46,46.50%,2-0,100.00%,3,85.40%,7.00%,22.50%,2.00%,66.40%,76.80%,50.60%,68.00%,27.20%,47.50%,0.85
Quarter-finals,3,3,0,100.00%,6月1日,85.70%,43-26,62.30%,0-1,0.00%,3,94.10%,32.40%,19.10%,3.60%,67.50%,79.40%,57.10%,72.20%,40.50%,55.90%,1.45
vs Righties,34,23,11,67.60%,56-32,63.60%,490-448,52.20%,10月20日,66.70%,34,89.50%,14.60%,20.40%,3.40%,67.20%,79.60%,51.80%,70.50%,31.10%,50.70%,1.05
vs Lefties,6,3,3,50.00%,8月8日,50.00%,87-81,51.80%,2月4日,33.30%,6,90.00%,15.50%,20.20%,3.90%,70.50%,76.40%,46.20%,67.50%,28.10%,49.10%,0.86
vs Top 10,10,6,4,60.00%,15-14,51.70%,160-167,48.90%,9月6日,60.00%,10,90.30%,6.90%,20.40%,3.40%,67.70%,78.10%,49.40%,68.80%,25.30%,48.10%,0.81
