Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2019 Laver Cup RR,L vs Federer,61.30%,37.00%,4.00%,3/0,2.21,55.30%,58.00%,31.00%,4.00%,2.14,47.80%,73.90%,47.10%,4.30%,2.28,62.50%
2019 Cincinnati R32,L vs Khachanov,53.70%,41.20%,2.10%,1月1日,2.22,13.80%,48.40%,35.50%,3.10%,2.03,20.00%,74.10%,50.00%,0.00%,2.46,6.70%
2019 Washington F,W vs Medvedev,59.40%,29.30%,4.30%,0/3,2.59,0.00%,55.80%,20.80%,4.70%,2.32,0.00%,70.80%,41.20%,4.20%,2.9,0.00%
2019 Washington SF,W vs Tsitsipas,52.70%,52.10%,4.40%,2月2日,2.24,2.10%,36.20%,42.90%,3.40%,2.38,4.20%,84.40%,59.30%,6.30%,2.15,0.00%
2019 Wimbledon R64,L vs Nadal,63.50%,31.50%,6.10%,1月6日,2.07,32.40%,56.20%,31.70%,8.20%,2.04,51.20%,80.00%,31.30%,2.50%,2.11,0.00%
2019 Queens Club R16,L vs Auger Aliassime,51.90%,31.50%,9.60%,7月3日,1.88,10.20%,46.20%,36.70%,9.20%,1.73,16.70%,75.00%,25.00%,12.50%,2.08,0.00%
2019 Miami R16,L vs Coric,57.90%,45.50%,1.30%,1/0,2.5,9.30%,50.00%,42.90%,2.40%,2.45,18.20%,76.70%,47.80%,0.00%,2.56,0.00%
2019 Miami R64,W vs Bublik,56.60%,46.70%,3.80%,1月1日,2.19,42.50%,55.60%,55.00%,2.80%,2.16,42.90%,66.70%,30.00%,6.70%,2.27,41.70%
2019 Acapulco F,W vs Zverev,65.30%,53.10%,2.00%,1/0,2.14,16.20%,62.20%,43.50%,0.00%,2.14,28.60%,81.80%,77.80%,9.10%,2.13,0.00%
2019 Acapulco SF,W vs Isner,53.80%,36.80%,2.80%,2月1日,2.21,18.50%,49.40%,34.20%,1.30%,2.4,35.70%,82.60%,42.10%,8.70%,2,0.00%
2019 Acapulco QF,W vs Wawrinka,63.20%,47.80%,1.90%,1月1日,2.03,42.60%,50.00%,40.00%,0.00%,2.09,69.70%,88.10%,54.10%,4.80%,1.96,10.70%
2019 Acapulco R16,W vs Nadal,61.00%,34.40%,1.00%,1/0,2.01,16.00%,56.30%,27.80%,0.00%,1.66,32.40%,73.70%,42.90%,2.60%,2.36,0.00%
2019 Delray Beach R16,L vs Albot,64.50%,40.80%,3.90%,2月1日,2.17,24.10%,63.30%,38.70%,2.00%,1.82,30.80%,69.20%,44.40%,7.70%,2.47,18.80%
2018 Tokyo R32,W vs Nishioka,74.30%,47.30%,2.70%,0/2,1.94,43.20%,67.90%,44.40%,3.80%,1.85,54.20%,90.50%,52.60%,0.00%,2.12,23.10%
2018 US Open R32,L vs Federer,60.90%,41.10%,2.20%,1月1日,1.88,60.70%,50.80%,25.80%,1.60%,1.74,59.30%,83.30%,60.00%,3.30%,2,62.10%
2018 Queens Club R16,W vs Edmund,63.60%,44.30%,0.90%,1/0,2.11,41.70%,57.40%,38.50%,0.00%,1.96,60.90%,79.50%,51.60%,2.60%,2.42,7.70%
2018 Stuttgart SF,L vs Federer,58.10%,28.00%,3.50%,3/0,100.00%,21.40%,61.80%,26.50%,3.60%,100.00%,13.90%,55.20%,31.30%,3.40%,-,35.00%
2018 Stuttgart QF,W vs Lopez,56.30%,35.00%,2.80%,1月1日,2.24,66.70%,50.00%,34.80%,2.20%,2.31,57.90%,85.00%,35.30%,5.00%,2.11,81.80%
2018 Miami R16,L vs Zverev,64.70%,27.30%,5.90%,3/0,2.39,18.20%,67.50%,29.60%,7.50%,2.3,17.40%,75.00%,16.70%,0.00%,2.48,19.00%
2018 Davis Cup World Group R1 RR,L vs Zverev,57.60%,45.30%,4.30%,3月1日,2.46,4.90%,53.00%,40.00%,6.10%,2.59,9.50%,78.30%,55.60%,0.00%,2.33,0.00%
Last 52 Weeks (8 matches),,57.10%,38.50%,4.70%,50.00%,2.21,21.10%,50.30%,35.90%,5.10%,2.12,27.40%,76.20%,41.80%,4.50%,2.33,12.70%
Career (64 matches),,64.30%,42.30%,3.50%,51.90%,2.2,24.30%,59.30%,38.50%,2.80%,2.15,31.80%,80.80%,47.40%,5.20%,2.26,14.50%
