Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
,,,,,,,,,,,,,,,,
29‑Jul‑2019,Washington,Hard,F,52,10,Kyrgios d. (3)Daniil Medvedev [RUS],7-6(6) 7-6(4), (ch),0.94,24.30%,0.00%,68.90%,84.30%,65.20%,0/0,1:34
25‑Feb‑2019,Acapulco,Hard,F,72,3,Kyrgios d. (2)Alexander Zverev [GER],6-3 6-4, (ch),0.97,18.30%,7.00%,62.00%,77.30%,37.00%,7月8日,1:30
1‑Jan‑2018,Brisbane,Hard,F,21,47,(3)Kyrgios d. Ryan Harrison [USA],6-4 6-2, (ch),1.66,30.40%,1.80%,71.40%,82.50%,56.30%,5月5日,1:13
2‑Oct‑2017,Beijing,Hard,F,19,1,(1)Rafael Nadal [ESP] d. (8)Kyrgios,6-2 6-1, (ch),0.66,12.50%,7.80%,48.40%,67.70%,30.30%,8月12日,1:32
14‑Aug‑2017,Cincinnati Masters,Hard,F,23,11,(7)Grigor Dimitrov [BUL] d. Kyrgios,6-3 7-5, (ch),0.63,25.00%,6.70%,70.00%,73.80%,44.40%,2月4日,1:25
3‑Oct‑2016,Tokyo,Hard,F,15,14,(6)Kyrgios d. (5)David Goffin [BEL],4-6 6-3 7-5,,1.23,25.30%,9.10%,67.70%,79.10%,50.00%,11月12日,2:00
1‑Aug‑2016,Atlanta,Hard,F,18,17,(2)Kyrgios d. (1)John Isner [USA],7-6(3) 7-6(4),,1.32,22.80%,6.30%,62.00%,81.60%,66.70%,4月4日,1:46
15‑Feb‑2016,Marseille,Hard,F,41,12,Kyrgios d. (4)Marin Cilic [CRO],6-2 7-6(3),,2.25,29.80%,1.80%,64.90%,94.60%,60.00%,1月1日,1:25
27‑Apr‑2015,Estoril,Clay,F,46,28,(5)Richard Gasquet [FRA] d. (7)Kyrgios,6-3 6-2, (ch),0.51,4.00%,6.00%,70.00%,62.90%,53.30%,3月6日,1:05
9‑Jun‑2014,Nottingham2 CH,Grass,F,173,136,(Q)Kyrgios d. (5)Samuel Groth [AUS],7-6(3) 7-6(7),,1.33,23.20%,2.40%,61.00%,84.00%,65.60%,5月5日,1:32
21‑Apr‑2014,Savannah CH,Clay,F,171,88,Kyrgios d. (2)Jack Sock [USA],2-6 7-6(4) 6-4,,0.98,11.80%,4.70%,56.50%,72.90%,59.50%,4月8日,1:57
14‑Apr‑2014,Sarasota CH,Clay,F,221,204,Kyrgios d. Filip Krajinovic [SRB],7-6(10) 6-4, (ch),1.52,9.40%,3.10%,60.90%,79.50%,60.00%,0/1,1:32
22‑Apr‑2013,China F3,Hard,F,315,236,(6)Kyrgios d. (3)Boy Westerhof [NED],7-5 6-1,,,,,,,,,
15‑Apr‑2013,China F2,Hard,F,331,173,(1)Di Wu [CHN] d. (8)Kyrgios,6-3 6-3,,,,,,,,,
25‑Feb‑2013,Sydney1 CH,Hard,F,559,285,(WC)Kyrgios d. Matt Reid [AUS],6-3 6-2,,1.7,18.80%,0.00%,64.60%,83.90%,58.80%,0/0,0:51
