Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2019 Wimbledon R64,L vs Nadal,120.1,127.2,8.6,131.6,119.1,139,109,101.3,12.6,112.5,98.1,143,87
2019 Wimbledon R128,W vs Thompson,116.8,122.3,10.9,127.3,116.9,136,65,104.5,13.2,115.4,100,135,70
2018 US Open R32,L vs Federer,118.3,128,8.1,130.3,121.4,138,106,102.6,11.4,113.7,101.6,136,89
2018 US Open R64,W vs Herbert,116.7,125.2,11.1,128.1,119.5,142,71,101.9,11,110.4,99.8,137,87
2018 US Open R128,W vs Albot,119.2,124,11.5,131,116.8,139,80,110.1,12.9,118.5,100.8,137,90
2018 Wimbledon R32,L vs Nishikori,118.8,124.7,8.7,129.2,119.7,135,89,106.8,10.1,121.7,104.5,135,78
2018 Wimbledon R64,W vs Haase,122.3,127.9,8.3,133.3,120.4,138,108,111.3,9.1,117.3,102.5,126,97
2018 Wimbledon R128,W vs Istomin,120.7,124.3,8.4,128.3,118.5,136,104,109,10.4,119.4,102.2,133,89
2017 US Open R128,L vs Millman,113.5,121.8,11.2,130.8,116.8,139,93,98.9,16.8,114.6,93.8,134,74
2017 Wimbledon R128,L vs Herbert,108.5,112.8,16,115.4,115.4,129,62,100.8,22.3,106.1,102,134,61
2017 Roland Garros R64,L vs Anderson,118.1,125.2,9.1,,,137,96,99.2,8.9,,,122,82
2017 Roland Garros R128,W vs Kohlschreiber,114.4,122.4,13.8,,,136,64,93,7.3,,,106,80
2017 Australian Open R64,L vs Seppi,116.3,119.4,10.9,124.4,110.9,138,90,108.3,12.2,116.5,92.5,127,87
2017 Australian Open R128,W vs Elias,115.5,121.2,11.6,126.4,115.8,135,83,106.8,12.2,114.7,92,123,86
2016 US Open R32,L vs Marchenko,110.7,119.3,11.3,123.3,116.3,136,68,96.2,10.9,104.4,94.2,125,78
2016 US Open R64,W vs Zeballos,111.2,119.1,8.1,122.4,114.4,137,105,98.1,11.9,100.7,94.3,125,82
2016 US Open R128,W vs Bedene,116,125.1,8.7,,,137,99,99.8,13.4,,,130,80
2016 Wimbledon R16,L vs Murray,120.9,123.9,8.4,128.1,118.5,138,106,104.5,8.1,115,100.5,118,96
2016 Wimbledon R32,W vs Lopez,117.3,122.6,7.8,124.5,118.8,135,73,102,11.3,109.7,99.3,128,81
2016 Wimbledon R64,W vs Brown,116.9,121.4,6.3,123.7,117.9,139,107,103.4,8.2,114,99.8,121,88
Career (50 matches),,114.3,120.9,8.3,126.8,117,142,62,100.6,10.4,112.6,98.8,143,61
